jobId,title,post,tag,company,place,job/internship
1,Marketing manager,Marketing Technologist,Social Media|Marketing,Hooli,Delhi,Ahmadabad
2,Marketing manager,SEO Consultant,Social Media|Marketing,Pied Piper,Mumbai,Vadodara
3,Web developer,Web Analytic Developer,Social Media|Marketing,FLY,Kolkata,Chandigarh
4,Marketing manager,Digital Marketing Manager,Social Media|Marketing,Ali Baba,Bangalore,Delhi
5,social manager,Social Media Manager,Social Media|Marketing,Amazon,Hyderabad,Mumbai
6,Marketing manager,Growth Hacker,Social Media|Marketing,Google,Ahmadabad,Kolkata
7,Content manager,Content Manager,Content,Hooli,Pune,Bangalore
8,content manager,Content Strategist,Content,Pied Piper,Surat,Hyderabad
9,It head,Information Architect,Information,FLY,Jaipur,Mumbai
10,Designing,UX Designer,UserExpierence,Ali Baba,Indore,Kolkata
11,Designing,UI Designer,UserExpierence,Amazon,Agra,Bangalore
12,Speciality,Accessibility Specialist,UserExpierence,Google,Mere,Hyderabad
13,Designing,Interaction Designer,UserExpierence,Hooli,Rajkot,Ahmadabad
14,Designing,Front-End Designer,FrontendDevelpment,Pied Piper,Bhopal,Chennai
15,Development,Front-End Developer,FrontendDevelpment,FLY,Mumbai,Ahmadabad
16,Development,Mobile Developer,BackendDevelpment,Ali Baba,Ghaziabad,Vadodara
17,Development,Full-Stack Developer,BackendDevelpment,Amazon,Noida,Nagpur
18,Development,Software Developer,BackendDevelpment,Google,Chandigarh,Raipur
19,Development,WordPress Developer,BackendDevelpment,Hooli,Kanpur,Bangalore
20,Development,FrameWork Specialist,BackendDevelpment,Pied Piper,Lucknow,Chennai
21,Development,Ruby On Rails Development,BackendDevelpment,FLY,Faisalabad,Ahmadabad
22,Development,Python Developer,BackendDevelpment,Ali Baba,Gwalior,Vadodara
23,Development,Java Developer,BackendDevelpment,Amazon,Nagpur,Chandigarh
24,Development,C++ Developer,BackendDevelpment,Google,Raipur,Delhi
25,Development,Kotlin Developer,BackendDevelpment,Hooli,Bangalore,Mumbai
26,Analysis,Business System Analyst,System,Pied Piper,Chennai,Kolkata
