jobID,title,post,tag,company,place,job/internship
1,State Jobs,Clerk Jobs,Service,Google,Bangalore,job
2,State Jobs,Computer Jobs,Service,Hooli,Bhopal,job
3,State Jobs,Steno Typist Jobs,Service,Flipkart,Chandigarh,internship
4,State Jobs,Assistant Jobs,Service,Wipro,Chennai,internship
5,State Jobs,Driver Jobs,Service,Infosys,Dadra and Nagar Haveli,job
6,State Jobs,Nurse Jobs,Service,CT hospital,Daman and Diu,job
7,State Jobs,Sport Jobs,Service,Jcb,Delhi,internship
8,State Jobs,Teacher Jobs,Service,DPS,Hyderabad,job
9,State Jobs,Agriculture Jobs,Service,AP agro,Indore,job
10,State Jobs,IT Software Jobs,Service,FLY,Jaipur,job
11,State Jobs,Police Jobs,Service,Ali Baba,Kolkata,job
12,State Jobs,PWD Jobs,Service,Amazon,Lakshadweep,job
13,State Jobs,Faculty Jobs,Service,Google,Lucknow,job
14,Secretary,Assistant Company Secretary,Assistance,HCL,Mumbai,job
15,Management,System Manager,System,Pied Piper,Nagpur,internship
16,Senior Executive,System Executive,System,FLY,Noida,job
17,Senior Assistant,Banking Assistant,Assistance,Ali Baba,Patna,internship
18,Coordinator,Project Associate,Associates,Amazon,Pune,internship
19,Educators,Temporary Assistant Professor,Expertise,Google,Ranchi,internship
20,Educators,Temporary Assistant Professor - Geography,Expertise,Flipkart,Delhi,job
21,Head Clerk,Clerk,Service,FLY,Mumbai,internship
22,Legal Officials,Legal Officer,Officials,Infosys,Kolkata,job
23,Senior Officers,Officers grade A,Service,Ali baba,Bangalore,job
24,Junior Officers,Officers Grade B,Service,Amazon,Hyderabad,job
25,Junior Officers,Officers Grade C,Service,Pied Piper,Ahmadabad,internship
26,Legal Officials,Fishery Development Officer,Development,Hooli,Pune,job
27,Senior Assistant,Research Assistant,Assistance,Pied Piper,Surat,internship
28,Professor,Assistant Professor,Expertise,Ali Baba,Jaipur,job
29,Engineer,Junior Engineer,Development,Wipro,Indore,job
30,Junior Officers,Junior Research FellowShip,Research,Google,Agra,job
31,Engineer,State Engineering Service,Service,FLY,Meerut,job
32,Rangers,Forest Ranger,Forest Department,maruti,Rajkot,internship
33,Collector,Fee Collector,Service,oracal,Bhopal,job
34,Senior Officials,Medical Officers,Medicine,Google,Mumbai,internship
35,Supervisors,Chemical Supervisors,Laboratory,Hooli,Ghaziabad,job
36,State Jobs,Tailor,Service,Ali Baba,Noida,job
37,State Jobs,Carpentry,Service,Amazon,Chandigarh,job
38,State Jobs,Store Keeper,Business,Google,Kanpur,job
39,Secretary,Private Secretary,Service,Hooli,Lucknow,internship
40,Senior Assistant,Technical Assistant,Assistance,Pied Piper,Faisalabad,internship
41,Junior Officers,Business development officers,Development,FLY,Gwalior,job
42,Consultants,Agricultural Consultant,Agro,Ali Baba,Nagpur,internship
43,Doctor,Doctor of Medicine (MD),Medicine,Amazon,Raipur,job
44,Senior Officers,Business development officers and marketing researchers,Development,Google,Bangalore,job
45,Junior Professor,Assistant Professor,Assistance,Amazon,Chennai,job
46,Senior Architect,Architect,Architecture,Pied Piper,Ahmadabad,job
47,workers,Brickmasons,Service,Wipro,Vadodara,internship
48,workers,Stonemasons,Service,Infosys,Chandigarh,job
49,workers,Carpet Installers,Service,Microsoft,Delhi,job
50,workers,Tile Installers,Service,Capegemini,Mumbai,job
51,Workers,Floor INstallers,Service,Sheetal,Kolkata,job
52,Workers,Construction workers,Service,Ali baba,Banagalore,internship
53,Helpers,Construction Managers,Managements,Hooli,Hyderabad,job
54,Helpers,Drafters,Service,Go ibio,Ahmadabad,job
55,Workers,Electricians,Service,Capegemini,Pune,job
56,Workers,Roofers,Service,Khaitan,Surat,job
57,Workers,Pipelayers,Service,Ambuja,Jaipur,internship
58,Workers,Surveyors,Service,Sujata,Indore,job
59,Workers,Steamfitters,Service,Filpkaart,Agra,internship
60,Junior Clerks,Lower Division Clerks,Service,Hooli,Meerut,job
61,Upper Clerks,Upper Division Clerks,Service,HCL,Rajkot,internship
62,Senior Clerks,Senior Division Clerks,Service,PiedPiper,Bhopal,internship
63,Typist,Junior Clerk cum Typist,Typing,Wipro,Mumbai,internship
64,Clerks,Commercial cum Ticket Clerk,Service,Infosys,Ghaziabad,job
65,Clerks,Clerk cum Computer Operator,Service,Microsoft,Noida,job
66,Clerks,Clerk cum Junior Data Entry Operator,Service,Police Station,Chandigarh,internship
67,Typist,Stenographer,Service,Sheetal,Kanpur,internship
68,Guards,Home guards,Service,Ali baba,Lucknow,internship
69,Copyist,Copyist,Service,Hooli,Faisalabad,job
70,Senior Executive,Director,Service,Go ibio,Gwalior,internship
71,Senior Officials,Registrar,Service,Capegemini,Nagpur,job
72,State Jobs,Peon,Service,Khaitan,Raipur,internship
73,State Jobs,Scientist,Service,Ambuja,Bangalore,internship
74,Manager,Assistant Manager,Managements,Sujata,Chennai,job
75,Associates,Programme Associates,Service,Filpkaart,Ahmadabad,internship
76,Engineer,Engineering Services,Service,Hooli,Vadodara,job
77,Technicians,Technical Services,Service,HCL,Nagpur,job
78,Inspectors,Physical Instructor,Service,Hooli ,Raipur,job
79,Sweepers,Sweeper,Service,PiedPiper,Bangalore,internship
80,Patwari,Patwari,Service,FLY,Chennai,job
81,State Jobs,IOCL Recruitment 2020,Service,Ali Baba,Vadodara,job
82,State Jobs,BEL Recruitment 2020,Service,Amazon,Chandigarh,job
84,State Jobs,ONGC Recruitment 2020,Service,Google,Delhi,job
85,State Jobs,BHEL Recruitment 2020,Service,Hooli,Mumbai,job
86,State Jobs,NLC Recruitment 2020,Service,PiedPiper,Kolkata,internship
87,State Jobs,BPCL Recruitment 2020,Service,FLY,Banagalore,job
88,State Jobs,HPCL Recruitment 2020,Service,Ali Baba,Hyderabad,job
89,State Jobs,OIL Recruitment 2020,Service,Amazon,Ahmadabad,job
90,State Jobs,BARC Recruitment 2020,Service,Google,Pune,internship
91,State Jobs,NCBS Recruitment 2020,Service,Hooli,Surat,job
92,State Jobs,MMTC Recruitment 2020,Service,PiedPiper,Jaipur,job
93,State Jobs,HLL Recruitment 2020,Service,FLY,Indore,internship
94,State Jobs,MFL Recruitment 2020,Service,Ali Baba,Agra,job
95,State Jobs,MRPL Recruitment 2020,Service,Amazon,Meerut,job
96,State Jobs,MDL Recruitment 2020,Service,Google,Rajkot,job
97,State Jobs,HAL Recruitment 2020,Service,Hooli,Vadodara,internship
98,State Jobs,GAIL Recruitment 2020,Service,PiedPiper,Nagpur,internship
